EmployeeNumber,Age,Attrition,Department,Gender,JobRole,MaritalStatus,MonthlyIncome,OverTime,Performance_status,Age_Group,Education_Level,JobInvolvement_level,Jobsatisfaction_Level,Distance_status,YearAtCompany_status
160,33,No,Sales,Male,Sales Executive,Married,6146,No,High,26-35,College,High,Medium,Very-Far,2-Star
161,56,Yes,Research & Development,Female,Research Scientist,Married,4963,Yes,High,56?,Masters,High,Medium,Far,1-Star
162,51,No,Research & Development,Male,Research Director,Single,19537,No,High,46-55,Bachelor,High,High,Near,4-Star
163,31,Yes,Sales,Male,Sales Executive,Married,6172,Yes,High,26-35,Masters,Low,High,Near,2-Star
164,26,No,Research & Development,Female,Research Scientist,Married,2368,No,High,26-35,Bachelor,Medium,Medium,Near,1-Star
165,58,Yes,Research & Development,Female,Healthcare Representative,Married,10312,No,High,56?,Masters,High,Very-High,Very-Far,Elders
167,19,Yes,Sales,Male,Sales Representative,Single,1675,Yes,High,18-25,Below College,High,High,Very-Far,Newbies
169,22,No,Research & Development,Male,Laboratory Technician,Married,2523,No,High,18-25,Below College,High,Very-High,Near,Newbies
170,49,No,Research & Development,Female,Manufacturing Director,Married,6567,No,High,46-55,Masters,High,Low,Far,3-Star
171,43,No,Research & Development,Female,Research Scientist,Single,4739,No,High,35-46,Bachelor,Very-High,High,Very-Far,1-Star
174,50,No,Sales,Female,Sales Executive,Single,9208,No,High,46-55,Bachelor,High,Very-High,Far,Newbies
175,31,Yes,Sales,Female,Sales Executive,Married,4559,Yes,High,26-35,Bachelor,Low,High,Far,Newbies
176,41,No,Sales,Male,Sales Executive,Divorced,8189,Yes,High,35-46,Below College,High,High,Near,2-Star
177,26,No,Human Resources,Female,Human Resources,Married,2942,No,Low,26-35,Below College,High,High,Very-Far,2-Star
178,36,No,Research & Development,Male,Manufacturing Director,Divorced,4941,No,Low,35-46,College,High,Medium,Near,1-Star
179,51,Yes,Research & Development,Male,Manufacturing Director,Single,10650,No,High,46-55,Masters,Low,Very-High,Near,1-Star
182,39,No,Sales,Female,Sales Executive,Married,5902,No,High,35-46,Masters,Medium,High,Near,3-Star
183,25,No,Sales,Male,Sales Executive,Married,8639,No,High,18-25,Bachelor,Medium,High,Very-Far,Newbies
184,30,No,Human Resources,Male,Human Resources,Married,6347,Yes,High,26-35,Bachelor,High,Very-High,Near,3-Star
190,32,Yes,Research & Development,Female,Laboratory Technician,Single,4200,No,Low,26-35,Bachelor,High,Low,Near,1-Star
192,45,No,Research & Development,Male,Research Scientist,Single,3452,No,High,35-46,Bachelor,High,Very-High,Very-Far,2-Star
193,38,No,Research & Development,Female,Research Scientist,Single,4317,Yes,Low,35-46,Doctor,High,High,Near,1-Star
194,30,No,Research & Development,Female,Research Scientist,Single,2632,No,High,26-35,Bachelor,High,High,Far,1-Star
195,32,No,Sales,Male,Sales Executive,Divorced,4668,No,High,26-35,College,Low,Very-High,Near,2-Star
197,30,No,Research & Development,Female,Research Scientist,Divorced,3204,No,High,26-35,Bachelor,High,Low,Near,1-Star
198,30,No,Research & Development,Male,Laboratory Technician,Single,2720,No,High,26-35,Below College,Medium,Very-High,Near,1-Star
199,41,No,Research & Development,Male,Manager,Divorced,17181,No,High,35-46,Bachelor,Medium,Low,Near,2-Star
200,41,No,Research & Development,Male,Laboratory Technician,Married,2238,No,Low,35-46,Masters,High,Low,Near,1-Star
201,19,No,Research & Development,Female,Laboratory Technician,Single,1483,No,High,18-25,Below College,High,Medium,Near,Newbies
202,40,No,Research & Development,Female,Research Scientist,Divorced,5605,No,High,35-46,Bachelor,High,Medium,Very-Far,4-Star
204,35,No,Sales,Male,Sales Executive,Married,7295,No,High,26-35,Doctor,High,Medium,Near,2-Star
205,53,No,Sales,Male,Sales Representative,Married,2306,Yes,Low,46-55,College,High,High,Near,2-Star
206,45,No,Research & Development,Male,Laboratory Technician,Divorced,2348,No,High,35-46,Bachelor,High,Medium,Near,4-Star
207,32,No,Sales,Female,Sales Executive,Single,8998,No,High,26-35,Bachelor,High,Very-High,Near,2-Star
208,29,No,Research & Development,Male,Manufacturing Director,Married,4319,No,High,26-35,Below College,High,High,Near,2-Star
211,51,No,Research & Development,Male,Manufacturing Director,Married,6132,No,High,46-55,Masters,Medium,High,Near,Newbies
214,58,No,Research & Development,Female,Research Scientist,Married,3346,Yes,Low,56?,Bachelor,Medium,Medium,Near,Newbies
215,40,No,Sales,Male,Sales Executive,Married,10855,No,High,35-46,Masters,Medium,Very-High,Near,3-Star
216,34,No,Sales,Female,Sales Representative,Married,2231,No,High,26-35,Masters,High,High,Near,1-Star
217,22,No,Research & Development,Male,Research Scientist,Married,2323,No,Low,18-25,Below College,High,Very-High,Far,Newbies
218,27,No,Research & Development,Male,Research Scientist,Divorced,2024,No,High,26-35,Bachelor,High,Medium,Near,Newbies
221,28,No,Research & Development,Male,Research Scientist,Married,2713,No,High,26-35,Bachelor,High,Very-High,Very-Far,1-Star
223,57,No,Research & Development,Male,Healthcare Representative,Divorced,9439,Yes,High,56?,College,Very-High,Very-High,Very-Far,1-Star
224,27,No,Research & Development,Male,Research Scientist,Divorced,2566,Yes,High,26-35,Bachelor,Medium,High,Near,Newbies
226,50,No,Research & Development,Female,Manager,Single,19926,No,High,46-55,Bachelor,High,Medium,Far,1-Star
227,41,No,Research & Development,Male,Research Scientist,Divorced,2451,No,High,35-46,Bachelor,High,High,Far,2-Star
228,30,No,Sales,Female,Sales Executive,Married,9419,No,High,26-35,Bachelor,High,Very-High,Near,2-Star
230,38,No,Sales,Female,Sales Executive,Single,8686,No,Low,35-46,Masters,Medium,Very-High,Near,2-Star
231,32,No,Research & Development,Male,Research Scientist,Single,3038,No,Low,26-35,Doctor,High,High,Near,1-Star
233,27,No,Research & Development,Male,Research Scientist,Married,3058,Yes,High,26-35,Bachelor,High,Medium,Far,1-Star
235,19,Yes,Sales,Female,Sales Representative,Single,2325,No,Low,18-25,Below College,Low,Low,Near,Newbies
238,36,No,Research & Development,Male,Laboratory Technician,Single,2088,No,High,35-46,College,High,Medium,Near,2-Star
239,30,No,Research & Development,Male,Laboratory Technician,Divorced,3072,No,High,26-35,Bachelor,High,Low,Near,3-Star
240,45,No,Sales,Female,Sales Executive,Divorced,5006,Yes,High,35-46,College,High,Low,Near,1-Star
241,56,No,Research & Development,Female,Research Scientist,Divorced,4257,Yes,High,56?,Bachelor,High,Low,Near,Newbies
242,33,No,Research & Development,Male,Research Scientist,Single,2500,No,High,26-35,Bachelor,High,Very-High,Near,1-Star
243,19,Yes,Research & Development,Male,Laboratory Technician,Single,1102,No,Low,18-25,Bachelor,Medium,Very-High,Near,Newbies
244,46,No,Sales,Female,Sales Executive,Divorced,10453,No,Low,46-55,College,High,Low,Near,5-Star
245,38,No,Research & Development,Female,Laboratory Technician,Single,2288,No,High,35-46,College,High,Very-High,Near,Newbies
246,31,No,Research & Development,Female,Research Scientist,Married,3929,Yes,Low,26-35,Below College,High,Very-High,Far,1-Star
247,34,No,Research & Development,Female,Research Scientist,Single,2311,No,High,26-35,College,High,Medium,Very-Far,1-Star
248,41,Yes,Sales,Female,Sales Representative,Single,3140,Yes,Low,35-46,College,High,Medium,Far,1-Star
249,50,No,Research & Development,Male,Laboratory Technician,Married,3690,No,High,46-55,Bachelor,Medium,High,Near,1-Star
250,53,No,Research & Development,Female,Manufacturing Director,Divorced,4450,No,High,46-55,College,Very-High,Low,Far,1-Star
252,33,No,Research & Development,Female,Research Scientist,Married,2756,No,High,26-35,Bachelor,High,Medium,Far,2-Star
253,40,No,Research & Development,Female,Manager,Married,19033,No,High,35-46,Below College,High,High,Near,4-Star
254,55,No,Research & Development,Male,Research Director,Single,18722,No,High,46-55,Masters,Very-High,Medium,Far,5-Star
256,34,No,Research & Development,Male,Manufacturing Director,Married,9547,No,High,26-35,Below College,Medium,High,Near,2-Star
258,51,No,Research & Development,Female,Healthcare Representative,Single,13734,No,High,46-55,Bachelor,High,Medium,Near,2-Star
259,52,No,Research & Development,Male,Manager,Married,19999,No,High,46-55,Masters,Medium,High,Near,Elders
260,27,No,Research & Development,Female,Research Scientist,Single,2279,No,High,26-35,Bachelor,High,Medium,Near,2-Star
261,35,Yes,Research & Development,Male,Manufacturing Director,Married,5916,Yes,High,26-35,College,Medium,High,Very-Far,Newbies
262,43,No,Research & Development,Male,Research Scientist,Divorced,2089,No,High,35-46,Bachelor,Very-High,Very-High,Near,1-Star
264,45,No,Research & Development,Male,Manager,Married,16792,No,Low,35-46,College,Medium,Very-High,Near,4-Star
267,37,No,Research & Development,Male,Research Scientist,Married,3564,Yes,High,35-46,Bachelor,Very-High,Low,Very-Far,2-Star
269,35,No,Research & Development,Female,Laboratory Technician,Single,4425,No,High,26-35,Bachelor,High,Medium,Near,2-Star
270,42,No,Research & Development,Female,Manufacturing Director,Divorced,5265,No,High,35-46,College,High,High,Very-Far,1-Star
271,38,No,Research & Development,Male,Manufacturing Director,Married,6553,No,High,35-46,Masters,High,High,Near,Newbies
273,38,No,Research & Development,Male,Manufacturing Director,Married,6261,No,High,35-46,Bachelor,High,Very-High,Very-Far,2-Star
274,27,No,Research & Development,Male,Manufacturing Director,Married,4298,No,High,26-35,Below College,Medium,Low,Near,Newbies
275,49,No,Research & Development,Male,Manufacturing Director,Divorced,6804,Yes,High,46-55,Masters,High,Very-High,Far,2-Star
277,34,No,Research & Development,Male,Research Scientist,Divorced,3815,Yes,High,26-35,Masters,High,High,Near,1-Star
281,40,No,Research & Development,Male,Laboratory Technician,Married,2741,Yes,High,35-46,College,High,Very-High,Far,2-Star
282,38,Yes,Research & Development,Male,Healthcare Representative,Married,6673,Yes,High,35-46,Below College,High,Low,Very-Far,Newbies
283,29,Yes,Sales,Female,Sales Executive,Married,7639,No,Low,26-35,Bachelor,High,Very-High,Very-Far,2-Star
284,22,No,Research & Development,Male,Research Scientist,Divorced,2328,Yes,High,18-25,Bachelor,Very-High,Medium,Near,1-Star
286,36,No,Research & Development,Female,Laboratory Technician,Single,2153,No,High,35-46,Below College,High,Very-High,Far,2-Star
287,40,No,Research & Development,Male,Healthcare Representative,Married,4876,No,High,35-46,Doctor,Medium,Very-High,Near,1-Star
288,46,No,Research & Development,Male,Healthcare Representative,Divorced,9396,No,High,46-55,Masters,High,Low,Near,1-Star
291,32,Yes,Sales,Male,Sales Executive,Married,10400,No,High,26-35,Masters,Low,Very-High,Near,3-Star
292,30,No,Research & Development,Male,Manufacturing Director,Single,8474,No,Low,26-35,Below College,Medium,High,Near,3-Star
293,27,No,Sales,Female,Sales Executive,Single,9981,No,High,26-35,Bachelor,High,High,Far,2-Star
296,51,No,Research & Development,Male,Research Director,Married,12490,No,High,46-55,Masters,Medium,Medium,Near,2-Star
297,30,Yes,Research & Development,Female,Research Scientist,Single,2657,Yes,High,26-35,Bachelor,High,Low,Near,1-Star
298,41,No,Sales,Female,Manager,Single,13591,Yes,High,35-46,Bachelor,High,Very-High,Near,Newbies
299,30,Yes,Sales,Female,Sales Executive,Single,6696,No,High,26-35,Masters,Medium,Low,Very-Far,2-Star
300,29,Yes,Research & Development,Male,Research Scientist,Single,2058,No,High,26-35,Bachelor,High,High,Near,2-Star
302,45,No,Sales,Female,Sales Executive,Single,8865,No,High,35-46,Bachelor,Medium,Very-High,Near,4-Star
303,54,No,Sales,Female,Sales Executive,Married,5940,No,High,46-55,Bachelor,High,Low,Near,2-Star
304,36,No,Research & Development,Male,Laboratory Technician,Single,5914,No,High,35-46,College,High,Medium,Near,3-Star
305,33,No,Research & Development,Female,Research Scientist,Married,2622,No,Low,26-35,Masters,Medium,Medium,Near,1-Star
306,37,No,Research & Development,Male,Research Director,Divorced,12185,Yes,High,35-46,Bachelor,High,Very-High,Far,2-Star
307,38,No,Sales,Male,Sales Executive,Divorced,10609,No,High,35-46,Bachelor,High,High,Near,4-Star
308,31,No,Research & Development,Male,Manufacturing Director,Married,4345,No,High,26-35,Masters,Low,High,Near,1-Star
309,59,No,Research & Development,Male,Research Scientist,Married,2177,No,High,56?,Bachelor,Medium,Very-High,Near,Newbies
311,37,No,Sales,Male,Sales Representative,Divorced,2793,No,High,35-46,Masters,High,Very-High,Near,2-Star
312,29,No,Sales,Female,Sales Executive,Married,7918,No,High,26-35,Below College,High,Very-High,Near,3-Star
314,35,No,Sales,Female,Sales Executive,Single,8789,No,High,26-35,Bachelor,High,High,Near,2-Star
315,29,Yes,Research & Development,Male,Research Scientist,Single,2389,Yes,High,26-35,Below College,Medium,Very-High,Far,1-Star
316,52,No,Research & Development,Female,Laboratory Technician,Single,3212,No,High,46-55,Bachelor,Medium,Very-High,Near,Newbies
319,42,No,Research & Development,Male,Manager,Married,19232,No,High,35-46,College,High,Very-High,Near,5-Star
321,59,No,Human Resources,Male,Human Resources,Married,2267,No,High,56?,College,High,High,Near,Newbies
323,50,No,Sales,Female,Manager,Divorced,19517,No,High,46-55,Masters,High,Very-High,Near,2-Star
325,33,Yes,Research & Development,Male,Laboratory Technician,Married,2436,Yes,High,26-35,Bachelor,High,Very-High,Far,1-Star
327,43,No,Sales,Female,Manager,Married,16064,Yes,Low,35-46,Bachelor,High,Very-High,Far,4-Star
328,33,Yes,Research & Development,Female,Laboratory Technician,Married,2707,No,Low,26-35,College,High,Low,Near,2-Star
329,52,No,Sales,Male,Manager,Single,19068,Yes,High,46-55,Masters,Medium,High,Near,Elders
330,32,No,Sales,Female,Sales Representative,Married,3931,No,High,26-35,College,High,Medium,Near,1-Star
331,32,Yes,Research & Development,Male,Laboratory Technician,Single,3730,Yes,High,26-35,Bachelor,Medium,High,Near,1-Star
332,39,No,Research & Development,Female,Laboratory Technician,Divorced,2232,No,High,35-46,Masters,High,High,Near,1-Star
333,32,No,Sales,Male,Sales Executive,Married,4465,No,High,26-35,Masters,High,Very-High,Very-Far,1-Star
334,41,No,Research & Development,Male,Research Scientist,Divorced,3072,No,High,35-46,College,High,Low,Far,Newbies
